,SAMPL6_ID,pH,Epik_Microstate,SAMPL6_Microstate_ID,Log_P
0,SM01,3.0,0,SM01_micro005,0.0
1,SM01,3.1,0,SM01_micro005,0.0
2,SM01,3.2,0,SM01_micro005,0.0
3,SM01,3.3,0,SM01_micro005,0.0
4,SM01,3.4,0,SM01_micro005,0.0
5,SM01,3.5,0,SM01_micro005,0.0
6,SM01,3.6,0,SM01_micro005,0.0
7,SM01,3.7,0,SM01_micro005,0.0
8,SM01,3.8,0,SM01_micro005,0.0
9,SM01,3.9,0,SM01_micro005,0.0
10,SM01,4.0,0,SM01_micro005,0.0
11,SM01,4.1,0,SM01_micro005,0.0
12,SM01,4.2,0,SM01_micro005,0.0
13,SM01,4.3,0,SM01_micro005,0.0
14,SM01,4.4,0,SM01_micro005,0.0
15,SM01,4.5,0,SM01_micro005,0.0
16,SM01,4.6,0,SM01_micro005,0.0
17,SM01,4.7,0,SM01_micro005,0.0
18,SM01,4.8,0,SM01_micro005,0.0
19,SM01,4.9,0,SM01_micro005,0.0
20,SM01,5.0,0,SM01_micro005,0.0
21,SM01,5.1,0,SM01_micro005,0.0
22,SM01,5.2,0,SM01_micro005,0.0
23,SM01,5.3,0,SM01_micro005,0.0
24,SM01,5.4,0,SM01_micro005,0.0
25,SM01,5.5,0,SM01_micro005,0.0
26,SM01,5.6,0,SM01_micro005,0.0
27,SM01,5.7,0,SM01_micro005,0.0
28,SM01,5.8,0,SM01_micro005,0.0
29,SM01,5.9,0,SM01_micro005,-0.0003375614290031007
30,SM01,6.0,0,SM01_micro005,-0.000506342143504651
31,SM01,6.1,0,SM01_micro005,-0.0006751228580062014
32,SM01,6.2,0,SM01_micro005,-0.0008439035725077517
33,SM01,6.3,0,SM01_micro005,-0.001012684287009302
34,SM01,6.4,0,SM01_micro005,-0.0011814650015108522
35,SM01,6.5,0,SM01_micro005,-0.001519026430513953
36,SM01,6.6,0,SM01_micro005,-0.002025368574018604
37,SM01,6.7,0,SM01_micro005,-0.0027004914320248054
38,SM01,6.8,0,SM01_micro005,-0.003375614290031007
39,SM01,6.9,0,SM01_micro005,-0.004219517862538758
40,SM01,7.0,0,SM01_micro005,-0.005400982864049611
41,SM01,7.1,0,SM01_micro005,-0.006920009294563564
42,SM01,7.2,0,SM01_micro005,-0.008945377868582167
43,SM01,7.3,0,SM01_micro005,-0.011308307871603872
44,SM01,7.3,1,SM01_micro004,-4.480621627872657
45,SM01,7.4,0,SM01_micro005,-0.014515141447133329
46,SM01,7.4,1,SM01_micro004,-4.238083741133929
47,SM01,7.5,0,SM01_micro005,-0.018565878595170535
48,SM01,7.5,1,SM01_micro004,-3.996389757967709
49,SM01,7.6,0,SM01_micro005,-0.023629300030217047
50,SM01,7.6,1,SM01_micro004,-3.755877239802999
51,SM01,7.7,0,SM01_micro005,-0.03021174789577751
52,SM01,7.7,1,SM01_micro004,-3.516546186639801
53,SM01,7.8,0,SM01_micro005,-0.038313222191851924
54,SM01,7.8,1,SM01_micro004,-3.27907172133612
55,SM01,7.9,0,SM01_micro005,-0.048777626490948044
56,SM01,7.9,1,SM01_micro004,-3.0439601860354606
57,SM01,8.0,0,SM01_micro005,-0.061942522222068974
58,SM01,8.0,1,SM01_micro004,-2.811380361452324
59,SM01,8.1,0,SM01_micro005,-0.07865181295772246
60,SM01,8.1,1,SM01_micro004,-2.58234493187372
61,SM01,8.2,0,SM01_micro005,-0.09941184084141315
62,SM01,8.2,1,SM01_micro004,-2.3573602394431536
63,SM01,8.3,0,SM01_micro005,-0.1254040708746519
64,SM01,8.3,1,SM01_micro004,-2.1377765298766365
65,SM01,8.4,0,SM01_micro005,-0.15780996805894956
66,SM01,8.4,1,SM01_micro004,-1.924268926032175
67,SM01,8.5,0,SM01_micro005,-0.19764221668131543
68,SM01,8.5,1,SM01_micro004,-1.7185252350547855
69,SM01,8.6,0,SM01_micro005,-0.24641984317226348
70,SM01,8.6,1,SM01_micro004,-1.5215581412314763
71,SM01,8.7,0,SM01_micro005,-0.3054930932478061
72,SM01,8.7,1,SM01_micro004,-1.3348866709927616
73,SM01,8.8,0,SM01_micro005,-0.37621221262395566
74,SM01,8.8,1,SM01_micro004,-1.1598610700546539
75,SM01,8.9,0,SM01_micro005,-0.45992744701672467
76,SM01,8.9,1,SM01_micro004,-0.9978315841331654
77,SM01,9.0,0,SM01_micro005,-0.5576514807131223
78,SM01,9.0,1,SM01_micro004,-0.8499796782298076
79,SM01,9.1,0,SM01_micro005,-0.6700594365711549
80,SM01,9.1,1,SM01_micro004,-0.7166429137735827
81,SM01,9.2,0,SM01_micro004,-0.5984964136224975
82,SM01,9.2,1,SM01_micro005,-0.7976576567343269
83,SM01,9.3,0,SM01_micro004,-0.49520261634754864
84,SM01,9.3,1,SM01_micro005,-0.9401085797736354
85,SM01,9.4,0,SM01_micro004,-0.4064239605197332
86,SM01,9.4,1,SM01_micro005,-1.0969058635455757
87,SM01,9.5,0,SM01_micro004,-0.33081020042303866
88,SM01,9.5,1,SM01_micro005,-1.2670368237631384
89,SM01,9.6,0,SM01_micro004,-0.2675174324849573
90,SM01,9.6,1,SM01_micro005,-1.4494887761393143
91,SM01,9.7,0,SM01_micro004,-0.21502663027497515
92,SM01,9.7,1,SM01_micro005,-1.6425739135290878
93,SM01,9.8,0,SM01_micro004,-0.1719875480770798
94,SM01,9.8,1,SM01_micro005,-1.8452795516454497
95,SM01,9.9,0,SM01_micro004,-0.13688115946075732
96,SM01,9.9,1,SM01_micro005,-2.0559178833433847
97,SM01,10.0,0,SM01_micro004,-0.10869478013899841
98,SM01,10.0,1,SM01_micro005,-2.273476224335883
99,SM01,10.1,0,SM01_micro004,-0.08590938368128911
100,SM01,10.1,1,SM01_micro005,-2.496435548192431
101,SM01,10.2,0,SM01_micro004,-0.06784984722962323
102,SM01,10.2,1,SM01_micro005,-2.7239519513405206
103,SM01,10.3,0,SM01_micro004,-0.05350348649699145
104,SM01,10.3,1,SM01_micro005,-2.955350310922146
105,SM01,10.4,0,SM01_micro004,-0.04202639791088603
106,SM01,10.4,1,SM01_micro005,-3.189617942650298
107,SM01,10.5,0,SM01_micro004,-0.033081020042303864
108,SM01,10.5,1,SM01_micro005,-3.4262485043814714
109,SM01,10.6,0,SM01_micro004,-0.02599223003323875
110,SM01,10.6,1,SM01_micro005,-3.6649044346866644
111,SM01,10.7,0,SM01_micro004,-0.02042246645468759
112,SM01,10.7,1,SM01_micro005,-3.90507939142237
113,SM01,10.8,0,SM01_micro004,-0.01586538716314573
114,SM01,10.8,1,SM01_micro005,-4.146267032445086
115,SM01,10.9,0,SM01_micro004,-0.012489772873114724
116,SM01,10.9,1,SM01_micro005,-4.3886361384693116
117,SM01,11.0,0,SM01_micro004,-0.009789281441089918
118,SM02,3.0,0,SM02_micro004,-0.03696297647583952
119,SM02,3.0,1,SM02_micro002,-3.9631399572109034
120,SM02,3.0,2,SM02_micro005,-4.0576571573317715
121,SM02,3.1,0,SM02_micro004,-0.04219517862538758
122,SM02,3.1,1,SM02_micro002,-3.722796219760696
